written_by,writes
2256987633,ed4e20bcd73b1138d3bb2ed4dbbf5e8b224ef5c7
2116921824,ed4e20bcd73b1138d3bb2ed4dbbf5e8b224ef5c7
2262080010,ed4e20bcd73b1138d3bb2ed4dbbf5e8b224ef5c7
2074346318,02f3c97ada83664938d2026f110c4a17c7e4db16
70985093,02f3c97ada83664938d2026f110c4a17c7e4db16
2267407251,02f3c97ada83664938d2026f110c4a17c7e4db16
2089465406,02f3c97ada83664938d2026f110c4a17c7e4db16
2290293855,02f3c97ada83664938d2026f110c4a17c7e4db16
2265945051,bca0bbd01ea917b7a9fe369288ea3ba03d3b1ff3
2265754434,bca0bbd01ea917b7a9fe369288ea3ba03d3b1ff3
2265783554,bca0bbd01ea917b7a9fe369288ea3ba03d3b1ff3
2000011573,bca0bbd01ea917b7a9fe369288ea3ba03d3b1ff3
2265924823,bca0bbd01ea917b7a9fe369288ea3ba03d3b1ff3
2265803524,bca0bbd01ea917b7a9fe369288ea3ba03d3b1ff3
1800462890,bca0bbd01ea917b7a9fe369288ea3ba03d3b1ff3
2218869839,bca0bbd01ea917b7a9fe369288ea3ba03d3b1ff3
2147311343,bca0bbd01ea917b7a9fe369288ea3ba03d3b1ff3
2265754569,bca0bbd01ea917b7a9fe369288ea3ba03d3b1ff3
2269413539,bca0bbd01ea917b7a9fe369288ea3ba03d3b1ff3
2266043640,bca0bbd01ea917b7a9fe369288ea3ba03d3b1ff3
2218961178,bca0bbd01ea917b7a9fe369288ea3ba03d3b1ff3
2145028549,476991e5b9590febcd9f93ceea178be635958a9c
2371027,476991e5b9590febcd9f93ceea178be635958a9c
2261897593,476991e5b9590febcd9f93ceea178be635958a9c
5305357,476991e5b9590febcd9f93ceea178be635958a9c
2239088112,476991e5b9590febcd9f93ceea178be635958a9c
2260651136,7031506190d629c5ab73726498422401fe437d9c
40963003,7031506190d629c5ab73726498422401fe437d9c
2260653039,7031506190d629c5ab73726498422401fe437d9c
2157789562,7031506190d629c5ab73726498422401fe437d9c
1578154573,7031506190d629c5ab73726498422401fe437d9c
2064476217,f904784b97e48e7a93b74428e5333fb3c7b403c4
2239493888,f904784b97e48e7a93b74428e5333fb3c7b403c4
2188058199,af3dfaf07b7d10de7928df851afccd99a041c9e3
2212059523,af3dfaf07b7d10de7928df851afccd99a041c9e3
2261452385,af3dfaf07b7d10de7928df851afccd99a041c9e3
2064492081,af3dfaf07b7d10de7928df851afccd99a041c9e3
2244126309,af3dfaf07b7d10de7928df851afccd99a041c9e3
2116458151,39abce3268f309d5655247de0c442a28219df390
2153604285,39abce3268f309d5655247de0c442a28219df390
2254201486,39abce3268f309d5655247de0c442a28219df390
2261358086,39abce3268f309d5655247de0c442a28219df390
2261287163,39abce3268f309d5655247de0c442a28219df390
2250624868,39abce3268f309d5655247de0c442a28219df390
2254271546,39abce3268f309d5655247de0c442a28219df390
2257436141,39abce3268f309d5655247de0c442a28219df390
2260653336,8b53456cfb9c0f26614a830ff09073afdd0bbe6d
26958446,8b53456cfb9c0f26614a830ff09073afdd0bbe6d
152354730,8b53456cfb9c0f26614a830ff09073afdd0bbe6d
2237850759,8b53456cfb9c0f26614a830ff09073afdd0bbe6d
2299332766,43e87bbe3c42c79678ac12f73833f0eb3e008a44
2267001904,43e87bbe3c42c79678ac12f73833f0eb3e008a44
50509991,43e87bbe3c42c79678ac12f73833f0eb3e008a44
144518215,43e87bbe3c42c79678ac12f73833f0eb3e008a44
1780531,43e87bbe3c42c79678ac12f73833f0eb3e008a44
39960971,1b5ddb30be6dcef45dd1eae1346ccd40610c3834
2239486285,1b5ddb30be6dcef45dd1eae1346ccd40610c3834
103216433,1b5ddb30be6dcef45dd1eae1346ccd40610c3834
1688094,1b5ddb30be6dcef45dd1eae1346ccd40610c3834
2239520675,1b5ddb30be6dcef45dd1eae1346ccd40610c3834
2243382693,756a5a2387ae9c09704efc4757765d656576df07
